order_id,date,time
1,01-01-2015,11:38:36
2,01-01-2015,11:57:40
3,01-01-2015,12:12:28
4,01-01-2015,12:16:31
5,01-01-2015,12:21:30
6,01-01-2015,12:29:36
7,01-01-2015,12:50:37
8,01-01-2015,12:51:37
9,01-01-2015,12:52:01
10,01-01-2015,13:00:15
11,01-01-2015,13:02:59
12,01-01-2015,13:04:41
13,01-01-2015,13:11:55
14,01-01-2015,13:14:19
15,01-01-2015,13:33:00
16,01-01-2015,13:34:07
17,01-01-2015,13:53:00
18,01-01-2015,13:57:08
19,01-01-2015,13:59:09
20,01-01-2015,14:03:08
21,01-01-2015,14:14:29
22,01-01-2015,14:16:26
23,01-01-2015,14:19:03
24,01-01-2015,14:23:01
25,01-01-2015,14:44:44
26,01-01-2015,14:54:26
27,01-01-2015,15:11:17
28,01-01-2015,15:35:46
29,01-01-2015,15:41:01
30,01-01-2015,15:41:25
31,01-01-2015,15:50:18
32,01-01-2015,15:53:18
33,01-01-2015,15:54:08
34,01-01-2015,16:21:21
35,01-01-2015,16:32:04
36,01-01-2015,16:54:09
37,01-01-2015,16:56:09
38,01-01-2015,17:03:00
39,01-01-2015,17:07:23
40,01-01-2015,17:14:36
41,01-01-2015,17:15:20
42,01-01-2015,17:28:09
43,01-01-2015,17:38:34
44,01-01-2015,17:54:20
45,01-01-2015,17:55:48
46,01-01-2015,18:25:51
47,01-01-2015,18:26:34
48,01-01-2015,18:26:42
49,01-01-2015,18:33:00
50,01-01-2015,18:41:01
51,01-01-2015,18:48:28
52,01-01-2015,18:53:02
53,01-01-2015,18:54:17
54,01-01-2015,19:01:45
55,01-01-2015,19:03:19
56,01-01-2015,19:07:00
57,01-01-2015,19:10:51
58,01-01-2015,19:30:40
59,01-01-2015,19:40:08
60,01-01-2015,20:05:16
61,01-01-2015,20:08:43
62,01-01-2015,20:50:16
63,01-01-2015,20:51:42
64,01-01-2015,20:52:08
65,01-01-2015,21:16:00
66,01-01-2015,21:47:55
67,01-01-2015,22:03:40
68,01-01-2015,22:07:32
69,01-01-2015,22:12:13
70,02-01-2015,11:38:51
71,02-01-2015,11:40:50
72,02-01-2015,11:57:25
73,02-01-2015,11:58:56
74,02-01-2015,12:01:12
75,02-01-2015,12:10:15
76,02-01-2015,12:21:17
77,02-01-2015,12:22:46
78,02-01-2015,12:28:14
79,02-01-2015,12:29:11
80,02-01-2015,12:35:38
81,02-01-2015,12:40:01
82,02-01-2015,12:45:51
